alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,1.0,10.0,0.01,0.01,0.3,812.0,0.8312407680945347
100.0,1.0,10.0,0.01,0.001,0.3,812.0,0.8209010339734121
100.0,1.0,10.0,0.01,0.0001,0.3,812.0,0.8275480059084195
100.0,1.0,10.0,0.01,1e-05,0.3,812.0,0.8297636632200887
100.0,1.0,10.0,0.01,1e-06,0.3,812.0,0.827917282127031
100.0,1.0,10.0,0.001,1.0,0.3,812.0,0.8393648449039882
100.0,1.0,10.0,0.001,0.1,0.3,812.0,0.8301329394387001
100.0,1.0,10.0,0.001,0.01,0.3,812.0,0.8415805022156573
100.0,1.0,10.0,0.001,0.001,0.3,812.0,0.8338257016248154
100.0,1.0,10.0,0.001,0.0001,0.3,812.0,0.835672082717873
100.0,1.0,10.0,0.001,1e-05,0.3,812.0,0.843426883308715
100.0,1.0,10.0,0.001,1e-06,0.3,812.0,0.8338257016248154
100.0,1.0,10.0,0.0001,1.0,0.3,812.0,0.8364106351550961
100.0,1.0,10.0,0.0001,0.1,0.3,812.0,0.8282865583456426
100.0,1.0,10.0,0.0001,0.01,0.3,812.0,0.8334564254062038
100.0,1.0,10.0,0.0001,0.001,0.3,812.0,0.8249630723781388
100.0,1.0,10.0,0.0001,0.0001,0.3,812.0,0.829394387001477
100.0,1.0,10.0,0.0001,1e-05,0.3,812.0,0.8286558345642541
100.0,1.0,10.0,0.0001,1e-06,0.3,812.0,0.8378877400295421
100.0,1.0,10.0,1e-05,1.0,0.3,812.0,0.835672082717873
100.0,1.0,10.0,1e-05,0.1,0.3,812.0,0.8264401772525849
100.0,1.0,10.0,1e-05,0.01,0.3,812.0,0.818685376661743
100.0,1.0,10.0,1e-05,0.001,0.3,812.0,0.8430576070901034
100.0,1.0,10.0,1e-05,0.0001,0.3,812.0,0.8441654357459379
100.0,1.0,10.0,1e-05,1e-05,0.3,812.0,0.8212703101920237
100.0,1.0,10.0,1e-05,1e-06,0.3,812.0,0.8460118168389956
100.0,1.0,10.0,1e-06,1.0,0.3,812.0,0.8375184638109305
100.0,1.0,10.0,1e-06,0.1,0.3,812.0,0.8301329394387001
100.0,1.0,10.0,1e-06,0.01,0.3,812.0,0.8375184638109305
100.0,1.0,10.0,1e-06,0.001,0.3,812.0,0.8349335302806499
100.0,1.0,10.0,1e-06,0.0001,0.3,812.0,0.8312407680945347
100.0,1.0,10.0,1e-06,1e-05,0.3,812.0,0.827917282127031
100.0,1.0,10.0,1e-06,1e-06,0.3,812.0,0.8131462333825702
100.0,1.0,1.0,0.1,1.0,0.3,812.0,0.829394387001477
100.0,1.0,1.0,0.1,0.1,0.3,812.0,0.837149187592319
100.0,1.0,1.0,0.1,0.01,0.3,812.0,0.8223781388478582
100.0,1.0,1.0,0.1,0.001,0.3,812.0,0.8474889217134417
100.0,1.0,1.0,0.1,0.0001,0.3,812.0,0.8349335302806499
100.0,1.0,1.0,0.1,1e-05,0.3,812.0,0.8234859675036927
100.0,1.0,1.0,0.1,1e-06,0.3,812.0,0.8471196454948301
100.0,1.0,1.0,0.01,1.0,0.3,812.0,0.8426883308714919
100.0,1.0,1.0,0.01,0.1,0.3,812.0,0.8290251107828656
100.0,1.0,1.0,0.01,0.01,0.3,812.0,0.8522895125553914
100.0,1.0,1.0,0.01,0.001,0.3,812.0,0.8334564254062038
100.0,1.0,1.0,0.01,0.0001,0.3,812.0,0.8275480059084195
100.0,1.0,1.0,0.01,1e-05,0.3,812.0,0.8319793205317577
100.0,1.0,1.0,0.01,1e-06,0.3,812.0,0.8327178729689808
100.0,1.0,1.0,0.001,1.0,0.3,812.0,0.8179468242245199
100.0,1.0,1.0,0.001,0.1,0.3,812.0,0.8341949778434269
100.0,1.0,1.0,0.001,0.01,0.3,812.0,0.8353028064992615
100.0,1.0,1.0,0.001,0.001,0.3,812.0,0.8349335302806499
100.0,1.0,1.0,0.001,0.0001,0.3,812.0,0.8404726735598228
100.0,1.0,1.0,0.001,1e-05,0.3,812.0,0.8286558345642541
100.0,1.0,1.0,0.001,1e-06,0.3,812.0,0.8389955686853766
100.0,1.0,1.0,0.0001,1.0,0.3,812.0,0.8083456425406204
100.0,1.0,1.0,0.0001,0.1,0.3,812.0,0.8327178729689808
100.0,1.0,1.0,0.0001,0.01,0.3,812.0,0.8257016248153619
100.0,1.0,1.0,0.0001,0.001,0.3,812.0,0.8238552437223042
100.0,1.0,1.0,0.0001,0.0001,0.3,812.0,0.8286558345642541
100.0,1.0,1.0,0.0001,1e-05,0.3,812.0,0.8257016248153619
100.0,1.0,1.0,0.0001,1e-06,0.3,812.0,0.8415805022156573
100.0,1.0,1.0,1e-05,1.0,0.3,812.0,0.8382570162481536
100.0,1.0,1.0,1e-05,0.1,0.3,812.0,0.827917282127031
100.0,1.0,1.0,1e-05,0.01,0.3,812.0,0.8349335302806499
100.0,1.0,1.0,1e-05,0.0001,0.3,812.0,0.8094534711964549
100.0,1.0,1.0,1e-05,1e-05,0.3,812.0,0.8312407680945347
100.0,1.0,1.0,1e-05,1e-06,0.3,812.0,0.8323485967503693
100.0,1.0,1.0,1e-06,1.0,0.3,812.0,0.8412112259970458
100.0,1.0,1.0,1e-06,0.1,0.3,812.0,0.8234859675036927
100.0,1.0,1.0,1e-06,0.01,0.3,812.0,0.845642540620384
100.0,1.0,1.0,1e-06,0.001,0.3,812.0,0.8401033973412112
100.0,1.0,1.0,1e-06,0.0001,0.3,812.0,0.837149187592319
100.0,1.0,1.0,1e-06,1e-05,0.3,812.0,0.8327178729689808
100.0,1.0,1.0,1e-06,1e-06,0.3,812.0,0.8408419497784343
100.0,1.0,0.1,0.1,1.0,0.3,812.0,0.8334564254062038
100.0,1.0,0.1,0.1,0.1,0.3,812.0,0.8445347119645494
100.0,1.0,0.1,0.1,0.01,0.3,812.0,0.8327178729689808
100.0,1.0,0.1,0.1,0.001,0.3,812.0,0.8482274741506647
100.0,1.0,0.1,0.1,0.0001,0.3,812.0,0.8367799113737076
100.0,1.0,0.1,0.1,1e-05,0.3,812.0,0.8375184638109305
100.0,1.0,0.1,0.1,1e-06,0.3,812.0,0.8367799113737076
100.0,1.0,0.1,0.01,1.0,0.3,812.0,0.8216395864106352
100.0,1.0,0.1,0.01,0.1,0.3,812.0,0.8389955686853766
100.0,1.0,0.1,0.01,0.01,0.3,812.0,0.8530280649926145
100.0,1.0,0.1,0.01,0.001,0.3,812.0,0.8201624815361891
100.0,1.0,0.1,0.01,0.0001,0.3,812.0,0.8519202363367799
100.0,1.0,0.1,0.01,1e-05,0.3,812.0,0.8474889217134417
100.0,1.0,0.1,0.01,1e-06,0.3,812.0,0.8452732644017725
100.0,1.0,0.1,0.001,1.0,0.3,812.0,0.8430576070901034
100.0,1.0,0.1,0.001,0.1,0.3,812.0,0.8260709010339734
100.0,1.0,0.1,0.001,0.01,0.3,812.0,0.8308714918759232
100.0,1.0,0.1,0.001,0.001,0.3,812.0,0.8401033973412112
100.0,1.0,0.1,0.001,0.0001,0.3,812.0,0.8452732644017725
100.0,1.0,0.1,0.001,1e-05,0.3,812.0,0.8467503692762186
100.0,1.0,0.1,0.001,1e-06,0.3,812.0,0.853397341211226
100.0,1.0,0.1,0.0001,1.0,0.3,812.0,0.8334564254062038
100.0,1.0,0.1,0.0001,0.1,0.3,812.0,0.8386262924667651
100.0,1.0,0.1,0.0001,0.01,0.3,812.0,0.8116691285081241
100.0,1.0,0.1,0.0001,0.001,0.3,812.0,0.8338257016248154
100.0,1.0,0.1,0.0001,0.0001,0.3,812.0,0.8415805022156573
100.0,1.0,0.1,0.0001,1e-05,0.3,812.0,0.8419497784342689
100.0,1.0,0.1,0.0001,1e-06,0.3,812.0,0.8412112259970458
100.0,1.0,0.1,1e-05,1.0,0.3,812.0,0.8530280649926145
100.0,1.0,0.1,1e-05,0.01,0.3,812.0,0.8474889217134417
100.0,1.0,0.1,1e-05,0.001,0.3,812.0,0.8327178729689808
100.0,1.0,0.1,1e-05,0.0001,0.3,812.0,0.8474889217134417
100.0,1.0,0.1,1e-05,1e-05,0.3,812.0,0.8305022156573116
100.0,1.0,0.1,1e-05,1e-06,0.3,812.0,0.8253323485967504
100.0,1.0,0.1,1e-06,1.0,0.3,812.0,0.8290251107828656
100.0,1.0,0.1,1e-06,0.1,0.3,812.0,0.8386262924667651
100.0,1.0,0.1,1e-06,0.01,0.3,812.0,0.8485967503692762
100.0,1.0,0.1,1e-06,0.001,0.3,812.0,0.8282865583456426
100.0,1.0,0.1,1e-06,1e-05,0.3,812.0,0.827917282127031
100.0,1.0,0.1,1e-06,1e-06,0.3,812.0,0.8353028064992615
100.0,1.0,0.01,0.1,1.0,0.3,812.0,0.8415805022156573
100.0,1.0,0.01,0.1,0.1,0.3,812.0,0.8437961595273265
100.0,1.0,0.01,0.1,0.01,0.3,812.0,0.8330871491875923
