alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,0.1,0.0001,1e-05,0.01,0.1,332.0,0.7231740306582507
100.0,0.1,0.0001,1e-05,0.001,0.1,332.0,0.7036369101292456
100.0,0.1,0.0001,1e-06,1.0,0.1,332.0,0.7087466185752931
100.0,0.1,0.0001,1e-06,0.01,0.1,332.0,0.7159603246167718
100.0,0.1,0.0001,1e-06,0.001,0.1,332.0,0.7021340547039375
100.0,0.1,0.0001,1e-06,0.0001,0.1,332.0,0.7063420498948001
100.0,0.1,0.0001,1e-06,1e-05,0.1,332.0,0.7030357679591224
100.0,0.1,0.0001,1e-06,1e-06,0.1,332.0,0.7069431920649234
100.0,0.1,1e-05,1.0,0.1,0.1,332.0,0.7171626089570183
100.0,0.1,1e-05,1.0,0.01,0.1,332.0,0.7123534715960325
100.0,0.1,1e-05,1.0,0.001,0.1,332.0,0.7117523294259093
100.0,0.1,1e-05,1.0,0.0001,0.1,332.0,0.7033363390441839
100.0,0.1,1e-05,1.0,1e-05,0.1,332.0,0.7129546137661557
100.0,0.1,1e-05,1.0,1e-06,0.1,332.0,0.7186654643823264
100.0,0.1,1e-05,0.1,1.0,0.1,332.0,0.7240757439134355
100.0,0.1,1e-05,0.1,0.1,0.1,332.0,0.721370604147881
100.0,0.1,1e-05,0.1,0.01,0.1,332.0,0.7168620378719567
100.0,0.1,1e-05,0.1,0.0001,0.1,332.0,0.7075443342350466
100.0,0.1,1e-05,0.1,1e-05,0.1,332.0,0.7162608957018335
100.0,0.1,1e-05,0.1,1e-06,0.1,332.0,0.7018334836188759
100.0,0.1,1e-05,0.01,1.0,0.1,332.0,0.711151187255786
100.0,0.1,1e-05,0.01,0.01,0.1,332.0,0.7156597535317103
100.0,0.1,1e-05,0.01,0.0001,0.1,332.0,0.7078449053201082
100.0,0.1,1e-05,0.01,1e-05,0.1,332.0,0.7012323414487527
100.0,0.1,1e-05,0.01,1e-06,0.1,332.0,0.7081454764051698
100.0,0.1,1e-05,0.001,1.0,0.1,332.0,0.7246768860835587
