alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,0.001,1e-06,0.0001,1e-05,0.05,166.0,0.7042380522993688
100.0,0.001,1e-06,1e-05,1.0,0.05,166.0,0.700931770363691
100.0,0.001,1e-06,1e-06,0.01,0.05,166.0,0.7033363390441839
100.0,0.001,1e-06,1e-06,1e-06,0.05,166.0,0.7075443342350466
100.0,0.0001,1.0,1.0,0.1,0.05,166.0,0.7006311992786294
100.0,0.0001,1.0,1.0,0.0001,0.05,166.0,0.7021340547039375
100.0,0.0001,1.0,1e-05,1e-05,0.05,166.0,0.7033363390441839
100.0,0.0001,0.1,1.0,1e-06,0.05,166.0,0.700931770363691
100.0,0.0001,0.1,0.1,0.1,0.05,166.0,0.7024346257889991
100.0,0.0001,0.1,0.1,0.0001,0.05,166.0,0.7057409077246769
100.0,0.0001,0.1,0.1,1e-05,0.05,166.0,0.7114517583408476
100.0,0.0001,0.1,0.0001,1e-06,0.05,166.0,0.7000300571085062
100.0,0.0001,0.1,1e-05,0.0001,0.05,166.0,0.7015329125338142
100.0,0.0001,0.01,1.0,0.1,0.05,166.0,0.7066426209798617
100.0,0.0001,0.01,0.1,0.1,0.05,166.0,0.7042380522993688
100.0,0.0001,0.01,0.1,1e-05,0.05,166.0,0.7105500450856628
100.0,0.0001,0.01,0.1,1e-06,0.05,166.0,0.7027351968740607
100.0,0.0001,0.01,0.01,1.0,0.05,166.0,0.715058611361587
100.0,0.0001,0.01,0.001,1.0,0.05,166.0,0.7075443342350466
100.0,0.0001,0.01,0.0001,0.1,0.05,166.0,0.7012323414487527
100.0,0.0001,0.01,1e-05,1.0,0.05,166.0,0.7057409077246769
100.0,0.0001,0.01,1e-06,1.0,0.05,166.0,0.7015329125338142
100.0,0.0001,0.01,1e-06,0.0001,0.05,166.0,0.7003306281935677
100.0,0.0001,0.001,0.1,1.0,0.05,166.0,0.718966035467388
100.0,0.0001,0.001,0.1,0.001,0.05,166.0,0.7045386233844304
100.0,0.0001,0.001,0.1,0.0001,0.05,166.0,0.7024346257889991
100.0,0.0001,0.001,0.01,1.0,0.05,166.0,0.7015329125338142
100.0,0.0001,0.001,0.01,0.1,0.05,166.0,0.7090471896603546
